;Álvaro Uribe (1);Álvaro Uribe (1);Álvaro Uribe (1);Álvaro Uribe (1);Álvaro Uribe (1);Álvaro Uribe (2);Álvaro Uribe (2);Álvaro Uribe (2);Álvaro Uribe (2);Juan Manuel SANTOS (1);Juan Manuel SANTOS (1);Juan Manuel SANTOS (1);Juan Manuel SANTOS (1);Juan Manuel Santos(2);Juan Manuel Santos(2);Juan Manuel Santos(2);Juan Manuel Santos(2);Iván Duque;Iván Duque;Iván Duque;Iván Duque;Gustavo Petro;Gustavo Petro;Gustavo Petro
departamento;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Amazonas;1.5;4;5.1;4.4;6.4;6.5;6.5;7.3;19.4;16.2;14.3;11.3;9.2;8.1;13.2;9.1;8.8;9.8;12;8.2;8.2;7.7;9;
Antioquia;26.6;28;29.6;31.3;33.3;33.1;35.1;32;44;47.5;48.3;51.4;52.2;53.7;55.5;57.4;58.2;56.4;55.8;57;56.4;55.7;57.4;
Arauca;1.6;1.7;3;3.2;4.5;8.6;12.5;10.6;17.2;19.7;21;17.3;12.5;0.1;11.8;11.7;9.8;9;0.1;7.5;6.8;5.9;5.6;
Atlántico;34;32.2;32.2;34.9;35.2;36;36.5;40.1;38.6;40.9;42.8;50.4;58.2;59.6;60.3;59.4;57.9;54.4;52.7;52.6;56.3;56.9;57.7;
Bolívar;13.2;17.9;18.3;18.5;18.3;22.2;24.9;25.4;29.4;34.4;35.3;38.7;39.5;41.5;42.6;40.6;39.6;37.5;38.2;36.2;37.8;38.9;39.8;
Boyacá;21;22.5;23.1;26.3;25.7;33.7;36.5;42.9;39.2;42.1;46.4;49.5;55.6;57;59;62.4;62.4;61.6;62.3;62.7;63.3;65.8;68.3;
Caldas;22.4;23.2;25;26.5;26.2;29.3;28.3;34.8;39.1;40.8;43.1;46.7;49.2;51.2;55.3;56.4;58.4;57.9;57.5;55.2;53.6;55.3;59.9;
Caquetá;7.6;7.5;8.9;12.2;14.8;20.3;22.5;26.7;25.8;27.4;26.6;27.6;27.7;29.1;29.8;30.3;28.9;29.8;28.9;33.3;34.5;33.2;33.1;
Cauca;12.8;13.5;15.1;15.8;16.4;20.1;22.1;11.1;27.3;27.4;24.6;28;28.9;30.9;33.1;35.8;33.9;35.6;36.2;33.4;35.7;35.8;37.7;
Casanare;2.6;4.5;5;8.2;9.9;18.4;26;27.1;25.1;27.8;29.3;25;24.6;24.8;26.2;25.2;23.7;26.7;35.8;24.6;25.8;26.6;27.6;
Cesar;10.9;11.7;12;14;15.5;19.2;21;23;21.8;25;26.4;28.6;29.8;30.5;31.1;32.8;32.6;31.6;32.9;32.9;35;34.9;37;
Chocó;19.1;17;18.4;19.3;22;19.3;19.5;5.3;30.6;28.2;27.3;26.6;27;26.7;24.7;26.1;25.1;27.6;25.6;30.1;30.8;31.4;31.4;
Córdoba;11.1;12.1;12.5;12.7;15.2;17.6;17.4;17.6;17.1;18.3;19.9;22.3;24.5;23.8;24.3;25.3;25.2;25.3;26;26.1;27.3;26.9;27.2;
Cundinamarca;11.5;13.4;13.6;13.8;14.8;15.9;18.8;20.6;23.7;22.6;24.7;27.8;31.5;31.7;31;32.3;30.5;29.4;32.8;30;30.6;29.5;34.9;
Guainía;0;0;3.3;4.2;9.7;17;19.4;20.3;20.8;20.2;18.7;13.8;14.6;14.8;13.9;12.7;9.4;10.9;;;;;;
Guaviare;0;0;1.7;3.1;7.3;11.6;13;14.5;31.6;27.9;33.5;36.9;25.1;29.4;27;26.6;26.8;24.7;24.3;24.7;24.7;24.2;26.9;
Huila;11.5;13.7;14.4;16.2;17;21.1;23.3;22.8;27.3;29.1;31.5;33.3;35.8;37.9;39.3;40.8;39.9;40.5;43.8;41.6;42.4;41.8;43.5;
La Guajira;13;13.2;12.8;14.3;15.3;14.6;17.7;18.1;22;19.9;18.8;19;21.4;25.3;24.1;24;23.2;21.9;20.5;20.1;20.4;21.4;22.5;
Magdalena;6.7;7.9;9.4;11.5;13;21.5;23.1;21.6;19.7;25.8;28.5;30.5;31.9;33.6;32.6;31.9;27.5;28.1;29.4;31.2;34.2;33.2;34.3;
Meta;13.2;14.2;14.1;17.9;20;24.9;26.5;26.1;26;29.7;31;33.7;32.5;34.1;35.5;32.9;32.5;32.7;35.8;36.7;35.7;36.5;37.3;
