año;presidente;presupuesto_por_ano_constante;presupuesto_por_periodo_constante;presupuesto_por_ano_corriente;presupuesto_por_periodo_corriente ;tasa_inflacion_por_ano;tasa_inflacion_acumulada _por_periodo
2002;Álvaro Uribe;8015839067409;52974381701424;24748039870441;144007619842863;6.99%;24.3%
2003;Álvaro Uribe;9428157812723;;27171177181786;;6.49%;
2004;Álvaro Uribe;10798766015405;;29386186217124;;5.5%;
2005;Álvaro Uribe;11951406436963;;30959069313190;;4.85%;
2006;Álvaro Uribe;12780212368924;;31743147260322;;4.48%;
2007;Álvaro Uribe;14060031968034;67578980178192;33087438349321;146495726965522;5.69%;20.35%
2008;Álvaro Uribe;15508597734676;;34109727192660;;7.67%;
2009;Álvaro Uribe;18175352170384;;38362799535243;;2,00%;
2010;Álvaro Uribe;19834998305098;;40935761888298;;3.17%;
2011;Juan Manuel Santos;21210750857499;93977906064964;42329492508824;179766228368456;3.73%;8.3%
;Juan Manuel Santos;;;;;;
2012;Juan Manuel Santos;22282546361055;;43102391678485;;2.44%;
2013;Juan Manuel Santos;24460258180300;;46379392490746;;1.94%;
;Juan Manuel Santos;;;;;;
2014;Juan Manuel Santos;26024350666110;;47954951690401;;3.66%;
2015;Juan Manuel Santos;1416307256451;105495018817547;2485786359327;165598088299766;6.77%;15.79%
2016;Juan Manuel Santos;30983939025605;;50580130955407;;5.75%;
;Juan Manuel Santos;;;;;;
2017;Juan Manuel Santos;35285015996184;;55219186393802;;4.09%;
2018;Juan Manuel Santos;37809756539307;;57312984591230;;3.18%;
2019;Iván Duque;40921429174402;180290109463729;59918773066243;248232329588922;3.8%;16.91%
;Iván Duque;;;;;;
2020;Iván Duque;44449102630729;;63480251363809;;1.61%;
2021;Iván Duque;46681183930890;;64416621991816;;5.62%;
2022;Iván Duque;48238393727708;;60416683167054;;13.12%;
2023;Gustavo Petro;50799584167041;160456072578452;56941850347004;169654322406767;9.28%;12.09%
2024;Gustavo Petro;59429301527553;;62485285175905;;5.2%;
2025;Gustavo Petro;50227186883858;;50227186883858;;5.1%;
